work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FL,Machine Learning Researcher,50000.0,USD,50000.0,UA,50,UA,S
2023,SE,FT,Research Scientist,150000.0,USD,150000.0,US,100,US,M
2024,SE,FT,Data Science,130300.0,USD,130300.0,US,0,US,M
2023,SE,FT,Data Science Manager,297300.0,USD,297300.0,US,100,US,M
2023,MI,FT,Data Specialist,90000.0,USD,90000.0,US,100,US,M
2023,MI,FT,Data Engineer,240000.0,USD,240000.0,US,0,US,M
2023,SE,FT,Data Engineer,73100.0,USD,73100.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,245000.0,USD,245000.0,US,100,US,M
2023,MI,FT,Machine Learning Engineer,55000.0,GBP,67672.0,GB,100,GB,M
2023,SE,FT,Data Engineer,202000.0,USD,202000.0,US,100,US,M
2023,SE,FT,NLP Engineer,66200.0,EUR,71475.0,IT,100,IT,M
2024,MI,FT,Machine Learning Engineer,100000.0,USD,100000.0,US,100,US,L
2023,SE,FT,Machine Learning Engineer,207700.0,USD,207700.0,CA,0,CA,M
2024,SE,FT,Machine Learning Engineer,146900.0,USD,146900.0,US,0,US,M
2023,MI,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L
2024,SE,FT,Data Engineer,190000.0,USD,190000.0,US,0,US,M
2024,MI,FT,Data Analyst,88000.0,USD,88000.0,US,100,US,M
2023,SE,FT,Data Analyst,85000.0,USD,85000.0,US,100,US,M
2022,SE,FT,Data Engineer,170000.0,USD,170000.0,US,0,US,M
2023,SE,FT,AI Engineer,160000.0,USD,160000.0,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,60000.0,GBP,73824.0,GB,0,GB,M
2023,SE,FT,Machine Learning Engineer,152300.0,USD,152300.0,US,0,US,M
2023,MI,FT,Data Engineer,64300.0,USD,64300.0,US,0,US,M
2021,SE,FT,Research Scientist,51400.0,EUR,60757.0,PT,50,PT,L
2024,MI,FT,Data Engineer,107800.0,USD,107800.0,US,0,US,M
2024,MI,FT,Data Scientist,97060.0,USD,97060.0,US,100,US,M
2023,SE,FT,Machine Learning Engineer,172200.0,USD,172200.0,US,0,US,M
2024,SE,FT,Data Architect,242100.0,USD,242100.0,US,0,US,M
2024,MI,FT,Data Science Practitioner,93900.0,USD,93900.0,US,0,US,M
2023,MI,FT,Data Scientist,183310.0,USD,183310.0,US,0,US,M
2022,SE,FT,Data Analyst,115934.0,USD,115934.0,US,100,US,M
2024,SE,FT,Data Engineer,144000.0,USD,144000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,219100.0,USD,219100.0,US,100,US,M
2022,SE,FT,Data Architect,192564.0,USD,192564.0,US,100,US,M
2023,SE,FT,Data Architect,105200.0,USD,105200.0,US,0,US,M
2023,SE,FT,Data Scientist,155500.0,USD,155500.0,US,0,US,M
2023,SE,FT,Data Scientist,143060.0,USD,143060.0,US,0,US,M
2024,MI,FT,Data Engineer,130000.0,USD,130000.0,US,0,US,M
2023,MI,FT,Machine Learning Engineer,84000.0,USD,84000.0,VN,100,VN,M
2022,SE,FT,Data Engineer,141300.0,USD,141300.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,185000.0,USD,185000.0,US,0,US,M
2024,EX,FT,Data Analyst,120000.0,USD,120000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,260000.0,USD,260000.0,US,0,US,M
2023,MI,FT,Data Engineer,175000.0,USD,175000.0,US,0,US,M
2024,SE,FT,Research Scientist,333500.0,USD,333500.0,US,0,US,M
2023,SE,FT,Data Engineer,152000.0,USD,152000.0,US,0,US,M
2024,SE,FT,Computer Vision Engineer,220000.0,USD,220000.0,US,100,US,M
2023,SE,FT,Data Analyst,110600.0,USD,110600.0,US,0,US,M
2023,EX,FT,Data Engineer,225000.0,USD,225000.0,US,0,US,M
2024,EX,FT,Data Architect,180000.0,USD,180000.0,US,100,US,M
2023,SE,FT,Data Science Lead,84700.0,USD,84700.0,US,0,US,M
2023,SE,FT,Data Scientist,225000.0,USD,225000.0,US,0,US,M
2022,SE,FT,Data Engineer,145000.0,USD,145000.0,US,0,US,M
2023,MI,FT,Data Engineer,128000.0,USD,128000.0,US,0,US,M
2023,EN,FT,Research Scientist,195200.0,USD,195200.0,US,0,US,L
2024,SE,FT,Data Engineer,45000.0,GBP,56250.0,GB,100,GB,M
2023,EX,FT,Data Engineer,239000.0,USD,239000.0,US,100,US,M
2023,SE,FT,Data Engineer,90300.0,USD,90300.0,US,0,US,M
2023,MI,FT,Data Analyst,52500.0,USD,52500.0,US,100,US,M
2022,SE,FT,Data Engineer,247500.0,USD,247500.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,229900.0,USD,229900.0,US,0,US,M
2023,MI,FT,Insight Analyst,35000.0,GBP,43064.0,GB,0,GB,M
2024,EX,FT,Data Science,300000.0,USD,300000.0,US,100,US,M
2023,SE,FT,Research Analyst,49500.0,EUR,53444.0,ES,100,ES,M
2024,EN,FT,Data Analyst,100000.0,USD,100000.0,US,0,US,M
2024,SE,FT,Data Engineer,162000.0,USD,162000.0,US,0,US,M
2023,MI,FT,Research Engineer,200000.0,USD,200000.0,US,0,US,M
2024,MI,FT,Data Scientist,68975.0,USD,68975.0,CA,0,CA,M
2024,SE,FT,Data Analyst,109000.0,USD,109000.0,US,0,US,M
2023,SE,FT,Data Scientist,184700.0,USD,184700.0,US,0,US,M
2024,EN,FT,Data Science,60800.0,USD,60800.0,US,0,US,M
2023,SE,FT,Research Scientist,253750.0,USD,253750.0,ES,0,ES,M
2023,SE,FT,Data Manager,145000.0,USD,145000.0,US,0,US,M
2023,SE,FT,Data Scientist,204500.0,USD,204500.0,US,0,US,M
2023,SE,FT,Data Engineer,140000.0,USD,140000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,170000.0,USD,170000.0,US,0,US,M
2024,SE,FT,Data Scientist,126600.0,USD,126600.0,US,0,US,M
2023,SE,FT,Data Engineer,190000.0,USD,190000.0,US,100,US,M
2023,SE,FT,Data Scientist,150200.0,USD,150200.0,US,0,US,M
2023,SE,FT,Data Analyst,135000.0,USD,135000.0,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,225000.0,USD,225000.0,US,0,US,M
2023,SE,FT,Data Science Manager,150000.0,USD,150000.0,MX,100,MX,M
2024,SE,FT,Data Architect,174000.0,USD,174000.0,US,0,US,M
2024,SE,FT,Research Scientist,112000.0,USD,112000.0,US,0,US,M
2024,MI,FT,Machine Learning Researcher,210000.0,USD,210000.0,US,0,US,M
2023,MI,FT,BI Developer,100000.0,USD,100000.0,US,0,US,M
2023,MI,FT,Decision Scientist,142200.0,USD,142200.0,US,0,US,M
2023,SE,FT,Data Scientist,90700.0,USD,90700.0,US,0,US,M
2023,SE,FT,Data Engineer,156000.0,USD,156000.0,US,100,US,M
2022,SE,FT,Machine Learning Engineer,164996.0,USD,164996.0,US,0,US,M
2024,SE,FT,Data Scientist,154360.0,USD,154360.0,US,0,US,M
2023,EX,FT,Analytics Engineer,221000.0,USD,221000.0,US,100,US,M
2023,SE,FT,Business Intelligence Engineer,104300.0,USD,104300.0,US,0,US,L
2023,EX,FT,Data Architect,180000.0,USD,180000.0,US,0,US,M
2023,SE,FT,Data Engineer,130000.0,USD,130000.0,US,0,US,M
2023,SE,FT,Data Engineer,130000.0,USD,130000.0,US,0,US,M
2023,SE,FT,Data Science Manager,299500.0,USD,299500.0,US,0,US,M
2024,MI,FT,Data Operations Specialist,88000.0,USD,88000.0,US,0,US,M
2023,SE,FT,Data Scientist,155000.0,USD,155000.0,US,0,US,M
2023,SE,FT,Data Engineer,140000.0,USD,140000.0,US,0,US,M
2024,MI,FT,Data Engineer,203500.0,USD,203500.0,US,100,US,M
2023,MI,FT,Analytics Engineer,75000.0,USD,75000.0,US,0,US,M
2023,SE,FT,Data Engineer,95325.0,USD,95325.0,US,0,US,M
2023,MI,FT,Data Strategist,65000.0,USD,65000.0,US,0,US,M
2023,MI,FT,Data Engineer,40000.0,EUR,43187.0,PL,100,PL,L
2023,EN,FT,Data Integration Specialist,100000.0,USD,100000.0,US,100,US,M
2023,SE,FT,Data Scientist,45000.0,EUR,48585.0,ES,0,ES,M
2024,EN,FT,Machine Learning Engineer,187500.0,USD,187500.0,US,0,US,M
2024,SE,FT,Data Manager,125500.0,USD,125500.0,US,0,US,M
2024,SE,FT,Data Architect,363000.0,USD,363000.0,US,0,US,M
2024,EN,FT,Data Analyst,51500.0,USD,51500.0,US,0,US,M
2022,SE,FT,Applied Scientist,205000.0,USD,205000.0,US,100,US,M
2023,SE,FT,Analytics Engineer,190000.0,USD,190000.0,US,0,US,M
2024,SE,FT,Analytics Engineer,287500.0,USD,287500.0,US,0,US,M
2023,SE,FT,Data Analyst,175000.0,USD,175000.0,US,100,US,M
2022,EN,PT,Data Analyst,24000.0,EUR,25216.0,ES,100,US,L
2022,SE,FT,Data Engineer,146000.0,USD,146000.0,US,0,US,M
2023,MI,FT,Data Engineer,109000.0,USD,109000.0,US,100,US,M
2023,SE,FT,Data Scientist,228045.0,USD,228045.0,US,100,US,M
2023,SE,FT,Machine Learning Engineer,128250.0,USD,128250.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,142200.0,USD,142200.0,US,0,US,M
2024,MI,FT,Data Product Manager,171000.0,USD,171000.0,US,100,US,M
2023,MI,FT,Data Engineer,167500.0,USD,167500.0,US,0,US,M
2023,SE,FT,Data Manager,140000.0,USD,140000.0,US,0,US,M
2023,SE,FT,Data Analyst,150000.0,USD,150000.0,US,100,US,M
2023,SE,FT,Data Scientist,140400.0,USD,140400.0,US,100,US,M
2023,SE,FT,Data Scientist,138900.0,USD,138900.0,US,0,US,M
2024,MI,FT,Research Engineer,295000.0,USD,295000.0,US,0,US,M
2023,EX,FT,Data Engineer,265000.0,USD,265000.0,US,0,US,M
2023,SE,FT,Data Scientist,151300.0,USD,151300.0,US,100,US,M
2023,SE,FT,Data Analyst,87500.0,USD,87500.0,US,0,US,M
2024,EN,FT,Data Analyst,40000.0,GBP,50000.0,GB,100,GB,M
2023,MI,FT,Data Engineer,120000.0,USD,120000.0,US,100,US,M
2023,SE,FT,Data Analyst,227000.0,USD,227000.0,US,0,US,M
2024,SE,FT,Data Architect,86000.0,USD,86000.0,US,0,US,M
2024,MI,FT,Data Engineer,140000.0,USD,140000.0,US,0,US,M
2023,SE,FT,Data Engineer,141000.0,USD,141000.0,US,0,US,M
2022,SE,FT,Data Engineer,185900.0,USD,185900.0,US,0,US,M
2023,MI,FT,Data Engineer,58400.0,USD,58400.0,US,0,US,M
2023,SE,FT,Data Engineer,150000.0,USD,150000.0,US,100,US,M
2024,MI,FT,Analytics Engineer,115000.0,USD,115000.0,US,0,US,M
2023,EX,FT,Head of Data,200000.0,GBP,246080.0,GB,0,GB,M
2021,SE,FT,Data Engineer,200000.0,USD,200000.0,US,100,US,L
2023,EN,FT,Data Analyst,71615.0,USD,71615.0,US,0,US,M
2023,SE,FT,Applied Scientist,309400.0,USD,309400.0,US,0,US,L
2023,SE,FT,Business Intelligence Engineer,115000.0,USD,115000.0,US,100,US,M
2024,MI,FT,Data Science,130000.0,USD,130000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,283780.0,USD,283780.0,US,0,US,M
2023,SE,FT,Data Scientist,112500.0,USD,112500.0,US,100,US,M
2022,EX,FT,Data Engineer,116100.0,USD,116100.0,US,100,US,M
2024,SE,FT,Data Scientist,115500.0,USD,115500.0,US,100,US,M
2022,SE,FT,Data Scientist,249500.0,USD,249500.0,US,0,US,M
2023,MI,FT,Data Scientist,45000.0,GBP,55368.0,GB,0,GB,M
2024,MI,FT,Data Engineer,90800.0,USD,90800.0,US,0,US,M
2024,EN,FT,Data Analyst,138000.0,USD,138000.0,US,0,US,M
2023,SE,FT,Data Scientist,200000.0,USD,200000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,170000.0,USD,170000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500.0,USD,204500.0,US,0,US,M
2023,SE,FT,Data Scientist,212000.0,USD,212000.0,US,0,US,M
2023,SE,FT,Machine Learning Researcher,73100.0,USD,73100.0,US,0,US,M
2023,SE,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L
2023,SE,FT,Machine Learning Engineer,168700.0,USD,168700.0,CA,0,CA,M
2023,EN,FT,Data Analyst,30000.0,USD,30000.0,AR,100,US,S
2023,MI,FT,Data Analyst,70000.0,USD,70000.0,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,150000.0,USD,150000.0,US,0,US,M
2022,SE,FT,Data Engineer,197430.0,USD,197430.0,US,100,US,M
2022,SE,FT,Data Engineer,210000.0,USD,210000.0,US,100,US,M
2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
2023,SE,FT,Data Scientist,173000.0,USD,173000.0,US,100,US,M
2022,EN,FT,Data Engineer,120000.0,USD,120000.0,US,100,US,M
2023,SE,FT,Data Manager,130000.0,USD,130000.0,US,0,US,M
2024,MI,FT,Applied Scientist,222200.0,USD,222200.0,US,0,US,L
2023,SE,FT,Data Scientist,300240.0,USD,300240.0,US,0,US,M
2024,EN,FT,Data Analyst,74400.0,USD,74400.0,US,100,US,M
2022,SE,FT,Data Engineer,120000.0,USD,120000.0,US,0,US,M
2022,MI,FT,Machine Learning Engineer,129300.0,USD,129300.0,US,0,US,M
2024,EN,FT,Machine Learning Engineer,105300.0,USD,105300.0,CA,100,CA,M
2022,SE,FT,Data Engineer,122600.0,USD,122600.0,US,0,US,M
2023,EX,FT,Data Scientist,145000.0,USD,145000.0,US,0,US,M
2021,SE,FT,Lead Data Analyst,170000.0,USD,170000.0,US,100,US,L
2024,MI,FT,Data Operations Associate,50000.0,EUR,55555.0,DE,0,DE,M
2023,SE,FT,Data Scientist,247600.0,USD,247600.0,US,0,US,L
2024,SE,FT,Data Engineer,78900.0,USD,78900.0,US,0,US,M
2023,MI,FT,Data Engineer,133000.0,USD,133000.0,US,0,US,M
2023,SE,FT,Data Scientist,176000.0,USD,176000.0,US,100,US,M
2023,EN,FT,Data Engineer,130916.0,USD,130916.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,147000.0,USD,147000.0,US,0,US,M
2023,MI,FT,Data Engineer,90000.0,USD,90000.0,US,100,US,M
2024,MI,FT,Machine Learning Engineer,99100.0,USD,99100.0,US,0,US,M
2023,SE,FT,Analytics Engineer,85500.0,USD,85500.0,US,0,US,M
2024,MI,FT,Machine Learning Engineer,130000.0,USD,130000.0,US,0,US,M
2023,SE,FT,Business Intelligence Analyst,193600.0,USD,193600.0,US,0,US,M
2023,EN,FT,Data Scientist,53000.0,EUR,57223.0,NL,50,NL,L
2023,MI,FT,Data Engineer,95000.0,GBP,116888.0,GB,100,GB,L
2023,SE,FT,Analytics Engineer,205000.0,USD,205000.0,US,0,US,M
2023,SE,FT,Data Engineer,106800.0,USD,106800.0,US,100,US,M
2023,MI,FT,Data Engineer,90000.0,USD,90000.0,US,0,US,M
2024,MI,FT,Data Scientist,231250.0,USD,231250.0,US,0,US,M
2023,SE,FT,Data Engineer,200000.0,USD,200000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,233000.0,USD,233000.0,US,0,US,M
2022,EN,FT,Machine Learning Engineer,108000.0,USD,108000.0,US,0,US,S
2022,SE,FT,Machine Learning Software Engineer,168000.0,USD,168000.0,CA,100,CA,M
2023,MI,FT,Data Engineer,181500.0,USD,181500.0,US,0,US,M
2024,MI,FT,Data Analytics Manager,124230.0,USD,124230.0,US,0,US,M
2023,SE,FT,Applied Scientist,222200.0,USD,222200.0,US,0,US,L
2022,SE,FT,Data Engineer,225000.0,USD,225000.0,US,0,US,M
2023,SE,FT,Data Scientist,250000.0,USD,250000.0,US,0,US,M
2023,SE,FT,Data Analyst,135000.0,USD,135000.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,230000.0,USD,230000.0,US,100,US,M
2022,SE,FT,Data Engineer,35000.0,EUR,36773.0,ES,0,ES,M
2024,MI,FT,Data Engineer,73100.0,USD,73100.0,US,0,US,M
2023,SE,FT,Data Engineer,130000.0,USD,130000.0,US,100,US,M
2022,SE,FT,Data Engineer,63000.0,USD,63000.0,US,0,US,M
2024,SE,FT,Data Analyst,112715.0,USD,112715.0,US,0,US,M
2024,SE,FT,Data Scientist,215000.0,USD,215000.0,US,0,US,M
2023,SE,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L
2023,SE,FT,Data Engineer,151000.0,USD,151000.0,CA,100,CA,M
2024,SE,FT,Data Engineer,187000.0,USD,187000.0,US,0,US,M
2023,MI,FT,Research Scientist,220000.0,USD,220000.0,US,0,US,M
2024,MI,FT,Data Specialist,73000.0,USD,73000.0,US,0,US,M
2024,EN,FT,Data Analyst,96800.0,USD,96800.0,US,0,US,M
2023,MI,FT,Data Scientist,93918.0,USD,93918.0,US,100,US,M
2024,EN,FT,Data Analyst,106875.0,USD,106875.0,US,0,US,M
2023,SE,FT,Machine Learning Infrastructure Engineer,152000.0,USD,152000.0,US,100,US,M
2023,SE,FT,Data Operations Analyst,144000.0,USD,144000.0,GB,0,GB,M
2022,SE,FT,Data Scientist,177500.0,USD,177500.0,US,100,US,M
2024,SE,FT,Data Engineer,161500.0,USD,161500.0,US,0,US,M
2024,MI,FT,Data Scientist,212000.0,USD,212000.0,EG,0,EG,M
2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
2024,SE,FT,Data Architect,160000.0,USD,160000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,142200.0,USD,142200.0,US,0,US,M
2024,SE,FT,Data Analyst,193000.0,USD,193000.0,US,100,US,M
2023,SE,FT,Business Intelligence Engineer,202800.0,USD,202800.0,US,0,US,L
2023,SE,FT,Machine Learning Engineer,250500.0,USD,250500.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,163200.0,USD,163200.0,US,0,US,M
2023,SE,FT,Data Scientist,212800.0,USD,212800.0,US,0,US,L
2023,MI,FT,Data Analytics Manager,242100.0,USD,242100.0,US,0,US,M
2024,MI,FT,Data Scientist,110000.0,USD,110000.0,US,100,US,M
2023,MI,FT,Data Scientist,90000.0,USD,90000.0,US,100,US,M
2023,SE,FT,Data Scientist,170186.0,USD,170186.0,US,0,US,M
2024,MI,FT,Data Engineer,102000.0,USD,102000.0,US,0,US,M
2023,SE,FT,Data Analyst,153300.0,USD,153300.0,US,100,US,M
2022,SE,FT,Data Analyst,150000.0,USD,150000.0,US,100,US,M
2024,EN,FT,Business Intelligence Analyst,92000.0,USD,92000.0,AU,0,AU,M
2023,SE,FT,Data Engineer,128000.0,USD,128000.0,US,0,US,M
2023,MI,FT,Machine Learning Engineer,50000.0,USD,50000.0,US,100,US,M
2023,MI,FT,BI Developer,81500.0,USD,81500.0,US,0,US,M
2022,SE,FT,Data Engineer,216000.0,USD,216000.0,US,100,US,M
2024,EN,FT,Research Engineer,193500.0,USD,193500.0,US,0,US,M
2023,MI,FT,Machine Learning Engineer,120000.0,USD,120000.0,US,0,US,S
2023,EN,PT,Data Analyst,78000.0,PLN,18160.0,PL,100,IN,L
2024,SE,FT,Data Science,234700.0,USD,234700.0,US,0,US,M
2023,MI,FT,Research Scientist,118800.0,USD,118800.0,US,100,US,M
2022,SE,FT,Data Engineer,181940.0,USD,181940.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,125000.0,USD,125000.0,US,0,US,M
2023,EN,FT,Data Engineer,58000.0,USD,58000.0,US,100,US,M
2024,MI,FT,Data Scientist,140400.0,USD,140400.0,US,100,US,M
2024,SE,FT,Data Architect,234000.0,USD,234000.0,US,0,US,M
2022,SE,FT,Data Engineer,180000.0,USD,180000.0,US,100,US,M
2023,SE,FT,Data Scientist,118900.0,USD,118900.0,US,0,US,M
2023,SE,FT,Data Scientist,190000.0,USD,190000.0,US,0,US,M
2022,SE,FT,Data Engineer,153600.0,USD,153600.0,US,0,US,M
2023,SE,FT,Data Engineer,139400.0,USD,139400.0,US,0,US,M
2023,SE,FT,Data Scientist,218213.0,USD,218213.0,US,100,US,M
2023,SE,FT,Data Analyst,80000.0,USD,80000.0,US,100,US,M
2023,MI,FT,Data Analytics Lead,100000.0,GBP,123040.0,GB,0,GB,M
2022,SE,FT,Data Engineer,120000.0,USD,120000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,260000.0,USD,260000.0,US,100,US,M
2024,SE,FT,Data Scientist,156000.0,USD,156000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500.0,USD,204500.0,US,0,US,M
2023,SE,FT,Business Intelligence Developer,102000.0,USD,102000.0,US,100,US,M
2023,SE,FT,ML Engineer,206000.0,USD,206000.0,US,0,US,M
2024,SE,FT,Data Analyst,126480.0,USD,126480.0,US,0,US,M
2023,SE,FT,Data Architect,186000.0,USD,186000.0,US,0,US,M
2023,SE,FT,Data Analyst,158494.0,USD,158494.0,US,100,US,M
2024,SE,FT,Machine Learning Engineer,255800.0,USD,255800.0,US,0,US,M
2022,SE,FT,Data Engineer,35000.0,EUR,36773.0,ES,0,ES,M
2022,SE,FT,Machine Learning Software Engineer,227200.0,USD,227200.0,CA,100,CA,M
